0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150
DB00945,-0.725281861,-0.168345651,-0.195585064,-0.966645745,2.581571687,0.036764492,0.573904611,0.015665656,-0.906065699,0.040079642,3.136654578,0.904312097,-0.916225864,1.857749664,-0.203013558,-0.580950305,-0.685148252,-0.46260805,-0.486643128,-0.173211212,1.958496686,-1.703490242,1.351178648,-0.136228597,-0.899972696,-0.497005737,-0.265168642,-0.014674431,-0.372986488,0.950494101,-0.399567868,0.410867525,-0.39225366,-0.050808432,-0.894487722,-0.207679285,0.227974293,-0.197889305,-0.834505301,-1.088013745,-0.880474092,-0.432177517,1.055177875,0.256776117,-0.891611695,-0.005713943,0.361672492,-0.833376443,0.607910352,-1.151555641,-1.369843939,-0.895161993,-1.278906565,-0.671773646,-0.111416975,-0.413066763,-0.036730229,-0.492602193,0.538192725,-0.649769529,-1.048389604,-0.269891649,-0.807076949,-0.107714738,0.505664711,0.058917071,0.08040688,0.091149078,-0.345515639,0.154506641,0.381321143,-0.162872567,0.397095105,0.313817241,0.337147804,0.682708991,0.076353739,-0.177313695,-0.006138753,0.521179039,-0.038850724,0.395834142,0.577601874,0.228597699,0.093473215,-0.535227894,0.267308609,-0.715927916,-0.004578931,0.164240978,0.485146517,0.51438889,-0.341465077,0.536283043,-0.414341848,-0.512598917,0.26882121,-0.355541682,-0.522210932,-0.285667334,1.181837226,0.230107108,0.092621428,0.280401996,-0.56852148,0.585657138,-0.128437233,-0.53922513,-0.813542545,0.283997887,0.046143986,-0.325086851,-0.704680865,-0.232933871,-0.096072702,-0.086513265,0.163294323,-0.172321084,-0.433364069,0.661445842,0.288561423,-0.462309672,-0.076829482,-0.620476905,-0.361053978,-0.368200711,-0.110092716,0.394831409,-0.078643065,-0.628393124,0.323023375,-0.45549274,0.052264067,0.266309284,0.240659459,-0.293300012,-0.054444379,-0.301768427,-0.126640099,0.226830525,-0.563923786,-0.294134895,-0.425577558,0.062314147,-0.206494585,-0.097778849,0.223102853,-0.176994517,-0.077364611,-0.359046644
DB00526,1.39830878,-1.609642425,-0.17624776,-1.166049334,0.253184291,1.095786634,-0.814221177,-1.346009893,0.148254094,0.213635834,0.966210156,0.284286738,-0.53647105,-0.1372013,-0.033881906,0.600796455,-0.162803487,-0.971696831,0.754053434,0.647878584,0.773976838,-0.564982987,-0.52564624,0.076659598,1.277136591,0.460648332,0.068484531,-0.731565809,-0.452606322,0.0634691,-0.915581888,-0.356458304,0.206387972,0.536098364,0.11157408,0.122042653,0.843117315,0.236428992,0.837062951,-0.035744141,0.407955369,-0.567839543,0.557493254,-0.966498488,-0.120925292,0.780199425,0.075260804,0.64769732,0.037342465,0.576072579,0.094734926,-0.125701815,-0.463019878,0.352188182,0.07790857,-0.134493335,-0.220523266,-0.169439647,-0.269182883,-0.101526122,0.808393013,-0.510325782,-0.256181261,-0.344063364,0.072278888,0.149731487,0.440774144,0.322002686,0.301602249,-0.610882488,-0.929593905,0.287901602,-0.350908821,0.252807902,0.073359573,0.51280701,-0.47866585,-0.03157761,-0.238648819,0.724259357,0.331074055,-0.234693847,0.532969091,0.231705855,0.017332203,0.368559553,-0.192882832,-0.248438634,-0.183237212,-0.738354948,0.05949391,0.070706722,0.036048934,0.155315818,0.415543556,0.329908831,-0.156360454,-0.362939136,-0.009162245,0.142089222,0.540248516,-0.848101976,-0.399765519,0.122286205,-0.548297071,-0.024713652,-0.576890163,-0.00379829,-0.355745482,-0.135577892,-0.00931828,0.308954319,-0.397315806,-0.079388505,-0.277781661,0.295801058,-0.284148589,-0.047350185,0.068890346,-0.848454671,0.041391322,0.242088907,0.139699952,-0.153758863,-0.066277258,-0.402003313,0.922399472,-0.162695468,0.05779694,-0.293760267,0.442856076,0.414199649,0.375583164,-0.16696945,-0.017699013,0.287187329,-0.122350311,0.506676659,0.389833711,-0.253803156,-0.275234137,0.020124006,0.122701934,-0.272783927,0.342001892,0.061439336,0.422602997,0.184984236,-0.15434679,0.070298246
DB00458,-0.977270944,-1.709086489,-2.095768789,0.945932172,-0.565519893,-1.154038801,-1.147901802,-0.510381332,0.467366613,0.643763511,0.544558962,-0.260699159,0.34901724,1.129463374,-0.781217417,-0.51523167,0.258922834,0.496962232,0.690786336,0.048731755,0.676364776,0.463390664,0.383009553,0.767199632,-0.208433337,0.877697137,-0.110293798,0.007721559,0.001374006,-0.041156208,0.051136651,0.169209442,0.689666096,0.70409877,-0.240351268,-0.670374528,0.502966244,-0.079085719,0.177451792,-0.23085788,-0.018825696,0.471769423,0.981740882,0.323847569,0.246174655,-0.104229884,0.28807841,0.346797231,0.119795797,-0.076493943,0.783872583,-0.072998082,0.538030948,0.625466981,-0.282408452,-0.181781857,-0.085462416,0.503250223,0.113191333,-0.028501748,-0.423795017,0.645878538,-0.388196435,-0.605912287,-0.05006265,0.141159201,-0.394332753,-0.127798451,-0.043613282,-0.30888887,-0.305252282,-0.180330036,0.090381223,-0.252014824,0.25697959,-0.229477138,-0.188663215,-0.403572423,0.62293622,0.147212759,-0.310590717,0.619877637,0.677758705,-0.387385673,0.692840064,0.254317149,0.101376716,-0.17975435,-0.189378423,-0.033465984,0.040134189,0.626169037,0.377496827,-0.69724449,-0.026942495,0.153154948,0.119424808,0.250043419,-0.254521093,-0.009393552,0.506906289,0.136591896,-0.16106423,0.305744675,-0.248255269,0.284838655,0.074032538,-0.000458488,-0.307690806,-0.640387708,0.419866381,0.070980195,-0.59449524,-0.080591773,-0.202520892,0.375798193,0.043898591,0.577152869,0.055902883,0.001690671,-0.543276675,0.190341097,0.336274181,0.274256273,0.135765128,0.304646904,0.08144379,-0.775693314,-0.013764011,0.304991409,0.152707891,-0.095068295,0.024092707,-0.060246131,-0.047280249,-0.321038111,0.331124835,-0.068123637,0.052994042,-0.471126666,0.289240244,-0.469911518,-0.101391459,0.390922054,0.07684038,0.215255443,0.145587059,-0.195594035,-0.134356636,-0.202430307
DB00996,-0.561936611,0.920118074,-1.437140689,-1.242198612,0.354645904,1.761798288,-0.493774961,0.154245106,0.88682878,0.199368251,0.396040805,0.509926795,-1.524542596,-0.419540605,-0.971822841,0.852374661,1.056519834,0.531724359,1.952125593,-0.509455251,-0.085322316,0.252677091,-0.355612597,-0.26763075,0.91921391,-0.680907035,-1.960109115,0.528796361,-0.356695307,-1.207739713,-0.140691835,0.249229207,0.822991651,-0.306451779,-0.141208866,-0.585281102,0.934759922,-0.729890469,-0.274351846,-0.611518817,0.665447574,-0.03841944,0.11869075,-0.085007105,1.00036536,-0.514215444,0.619046696,0.440674326,-0.486780832,-1.085985714,-0.757924054,-0.030147913,-0.249988063,0.653637524,-0.128348661,-0.06437956,0.076118046,-0.488210797,0.031045343,-0.247873999,0.423408812,-0.453729636,0.074275418,-0.427177537,-0.306177784,-0.309375731,-0.728571837,-0.385248472,0.141496718,-0.368286696,-0.349518414,-0.413430245,-0.079403541,-0.006054744,-0.107534732,0.019573816,0.059634115,0.523696844,-0.460369683,0.333177383,-0.322931412,-0.455218669,0.451468662,-0.047750776,-0.208252733,-0.18656676,0.388333779,0.228071689,-0.531441417,0.441646018,0.09682632,-0.306112217,0.249324967,0.308489432,-0.544295935,0.60979066,0.531790246,-0.453723101,-0.589105199,0.390605491,0.28604895,0.065245865,0.455192935,-0.14877307,-0.057682809,0.17981582,0.013745993,0.73386416,-0.48203049,0.052421445,-0.17398561,0.112620215,-0.117018014,-0.068553251,-0.17229033,0.503924542,0.033268506,-0.068968865,-0.565368461,0.148270198,0.295322958,0.373939035,-0.228397121,0.131351351,0.00164187,0.379936276,0.236683533,0.390262472,0.269268416,0.193186712,-0.193868448,-0.124052106,-0.094583179,-0.39267436,-0.282898457,0.227086992,0.038416797,0.2427095,-0.095802895,-0.595712107,0.29729955,-0.042506301,-0.09614398,-0.010548024,-0.180222712,-0.216402183,0.129619555,-0.02714193,0.090847264,-0.105477113
DB00454,-1.004601955,-0.692415137,-0.850541359,-0.052762406,0.116434796,1.132856472,-1.95257551,-0.869033548,0.356727701,-0.611431387,0.639290258,-0.425674886,-0.589148029,0.833283406,0.74835645,0.23198861,0.819832017,1.212870532,0.48455395,0.778747519,0.133874639,0.524505532,0.799855874,-0.04277306,0.23708444,0.819594116,0.286766787,-1.666536874,0.44985133,-0.100863236,0.686476502,0.27412573,-0.444573293,0.212479159,-0.383051208,-1.133423221,0.01522611,0.160958782,-0.365709879,-0.625883977,-0.625411634,0.31938758,-0.30634951,0.657532662,0.218117705,0.02036399,0.668542803,0.08792131,0.627318239,-1.073089924,-0.901076054,0.525536668,0.24872492,-0.033438269,-0.518532831,0.080878503,0.311685661,-1.009527066,0.197371501,-0.27663957,0.213425196,0.101650609,0.519663683,0.453334437,0.073117093,0.502886651,0.229007207,-0.272569767,0.557544785,-0.040224252,0.582674605,-0.192087476,-0.220718596,-0.361653669,0.059084259,-0.212890554,-0.446612024,-0.237505555,0.105897359,-0.153621679,0.690816397,-0.365033426,0.11585688,-0.101067703,-0.430464877,0.917698046,-0.235163801,-0.3616394,0.259968242,-0.006057751,0.175492911,-0.65846467,-0.486741626,-0.059511444,-0.759018743,-0.654402755,0.080381835,0.480800409,-0.543711992,-0.957337196,-0.23191714,-0.002454005,-0.016513738,-0.172302914,-0.394068254,-0.195468595,-0.014296222,0.442980587,-0.043263675,-0.517166453,-0.161849712,0.469976083,-0.363304938,0.203618947,-0.040400988,-0.13335996,0.465647814,0.062548404,-0.016929626,0.058222836,-0.077808294,-0.010163332,-0.191456908,0.534554698,-0.208987372,0.498226969,0.237738628,0.295636213,0.692695291,-0.092305002,-0.197663455,0.144950735,0.551571769,0.36468426,0.408043565,0.256878932,0.199468584,-0.178084785,-0.068034789,0.128065536,0.051518217,0.06686795,0.330835713,0.063356677,-0.182454323,0.106480228,0.171353588,0.016268406,-0.013116562,-0.430393017
DB00952,-1.147109017,-0.836637023,-0.835234663,-1.402586069,-1.214858631,0.126034655,0.504265248,0.022693989,-0.862975406,-1.588247209,-0.688271039,1.132573681,0.978159793,0.504429292,-1.05029936,0.958971658,-0.557095954,-0.826116724,-0.457695192,0.819258935,0.470098955,0.641535693,0.762717638,1.215305034,-0.555706071,0.376335749,1.113461877,0.300964383,0.553137808,0.283759859,-0.136657868,0.176845246,0.290153633,0.050826897,0.38188549,0.321279848,-0.514687539,-0.742821724,-1.080430618,0.15418626,0.406555643,-0.044418186,0.923474247,-1.155146872,0.383282904,-0.879896698,-0.167031259,0.284048921,0.147303926,-0.546323856,0.387253659,0.049557119,0.023481009,0.082275531,0.663537915,-0.055602925,0.268557295,-0.441993944,0.0276301,-0.192241216,0.072850335,-0.097713943,0.800802432,-0.647153636,-0.25316087,-0.282091852,-0.389567154,0.090419147,0.408218497,-0.868292408,-0.052913764,0.521708085,-0.265021347,-0.65785067,0.106987551,0.251917778,0.365804646,1.018267406,0.18956981,-0.201574326,0.686617357,-0.133140471,-0.021119991,-0.476673697,-0.095660388,-0.31103284,-0.250764919,-0.515037661,0.165855151,-0.066234,0.681090102,-0.325078365,0.39164015,-0.365547341,0.221789489,-0.132695031,0.455878065,-0.221175686,0.1577383,0.144404552,0.315103132,-0.3698975,-0.218964803,0.030344079,-0.197525322,0.09065463,0.429890683,0.062051399,-0.322699447,-0.558372232,0.350618198,-0.056025991,-0.071212562,0.136566593,0.016638875,0.157244912,0.481496707,-0.167793121,0.172201253,-0.229267381,0.142215562,0.040769922,0.348899956,0.284570338,-0.568472093,-0.070371499,-0.06108176,0.204431225,0.149281339,-0.272931632,0.215985293,-0.065770939,0.199094714,0.344405333,0.053777684,-0.248598797,0.156469206,0.161042444,-0.130903888,0.213197535,-0.068692712,-0.124036574,0.194251614,0.390248062,-0.152276027,0.144280919,0.220802627,0.047415475,0.259668924,-0.019369716
DB00213,0.434080479,0.107699088,-0.172399529,-0.611217551,0.578977911,-0.635811033,1.321652585,0.966067229,1.466045373,0.701209555,-0.669640815,-0.187752204,1.175545057,0.054449263,-0.506977273,-0.907036925,-0.328884792,-0.950930583,-1.223889315,0.272881431,0.560570541,-0.474932097,-0.40386138,0.900466606,0.766842085,0.76566788,1.06428245,-0.907356343,-0.523974618,1.559888104,-1.27401652,0.551624413,-0.001122874,0.185298649,1.736136502,0.707090835,0.669159929,0.229900603,-1.225719641,0.160726384,0.502114619,-0.475205493,0.022809946,0.494051165,-0.944058472,-0.764942773,-0.26168143,-0.756452549,0.040164284,0.257402736,0.826026862,-0.116757858,-0.150972927,-0.367276692,-0.698051704,-0.144383731,0.521554716,-0.018150903,-0.098093227,0.230614537,-0.050964807,-0.458284007,-0.411187981,0.25643833,0.537027368,0.872679315,-0.009764657,0.440813919,0.062169577,0.776674316,0.114553679,-0.173764839,0.127077252,-0.53838799,-0.86070153,0.461960985,-0.624366758,0.181689689,-0.075134651,-0.031431853,-0.566097887,-0.103556347,-1.017208467,-0.449826631,-0.180876602,-0.469304648,0.14567057,0.267427635,0.38959134,-0.717759359,-0.339957233,0.153973002,0.180741341,-0.48219949,-0.391198138,0.24164108,-0.049422503,0.460283519,-0.00444945,-0.558519663,0.50593749,-0.058804496,0.391898221,-0.370760245,0.221350999,0.363323119,0.259549891,-0.651029069,-0.196411141,-0.24793153,0.62760704,-0.67001413,0.086392465,-0.057353298,-0.214445442,0.321063125,-0.185922986,-0.015963331,-0.425667518,-0.171694082,-0.602079987,-0.039950498,-0.127053561,0.312453222,0.278620943,-0.016880497,-0.090112727,-0.144522194,0.487242738,0.054027468,0.177109877,-0.041314475,-0.023697605,0.02334723,-0.239983637,0.205122809,-0.123796613,-0.288910311,-0.171073317,0.044494111,0.288930005,0.126998263,0.361062737,-0.100254562,-0.237845511,0.031398356,-0.25371533,0.246755614,0.162358292,-0.38062832
DB00492,0.575885454,2.236663092,-2.028818499,0.22082426,0.035144027,0.594469079,1.303551653,-0.790335332,1.354017048,0.549001891,-1.568515806,-1.049071838,0.965895517,0.038929507,-0.356003658,2.075630145,-0.927177368,0.078580511,-0.143321601,0.098979033,0.696679302,-0.433377875,-1.234481182,-0.527076371,0.288043527,-0.493564488,-0.50067445,-0.179575746,0.677015327,0.265104008,-0.660094981,-0.363300204,1.180178589,1.300283085,0.255514541,-0.264697352,-0.624644956,-0.062118584,-0.886245513,-0.915685442,-0.253929215,0.361756471,-0.1068041,0.680431082,0.131361067,0.034685877,-0.336821301,-0.390729713,0.911486983,0.085551785,0.31778851,0.295907395,0.637587967,0.507579218,-0.428312593,0.115806943,-0.058389729,0.101516287,-0.41845083,-0.242800941,0.244174899,-0.402183831,-0.006765436,0.061451169,-0.599885383,-0.331903657,0.498227335,0.418709407,-1.283419918,-0.467229671,0.145963208,0.000228288,0.691900175,-0.398965119,0.137290759,0.036503611,0.443505199,-0.010103528,-0.156866281,-0.652109314,0.134625273,-0.12344748,-0.201973767,0.250636183,-0.578306596,0.058612076,-0.147176151,-0.239985544,0.588056424,-0.452424481,-0.549805984,-0.16297462,0.907218473,0.362578651,-0.299957216,-0.567383411,0.398642271,0.267978416,0.042258201,-0.016404897,-0.043631327,0.407858233,0.198838113,0.303871176,0.204729001,0.285600257,-0.305464306,-0.462591533,-0.300688766,0.004498014,0.111243396,-0.047766365,0.021255244,0.052968087,0.059452981,-0.131926541,0.09332344,-0.300594944,-0.085820572,0.172842155,0.069062076,-0.118361304,-0.160695611,-0.25122517,0.068367823,-0.15803141,0.217610169,-0.04263206,0.098706564,-0.372343334,0.475868672,0.096915302,0.280490741,-0.22173398,0.115147578,-0.220129325,-0.116481829,-0.314795779,0.161982944,-0.077730448,0.041041217,0.092217685,-0.279445548,0.294021255,0.072802814,0.147318535,-0.354165286,-0.054964439,-0.131776982,0.005254677
DB01212,2.270255787,1.327923079,-1.744380549,0.368531758,-0.343036463,-0.95295565,-1.330004874,0.527036249,0.113676454,-1.020482342,1.076249259,-0.042507648,0.786433862,0.350467337,-1.15423658,-0.505965148,0.153835821,0.564985571,0.122464353,0.472405331,0.453967118,0.827554855,-1.110310866,0.624547044,0.504808237,0.600495886,0.07373042,-0.591007182,-0.222478856,-0.903473037,-0.840912095,-0.105871525,-0.247089952,-0.997832048,-0.450716646,-0.620662648,-0.218738701,0.869714401,0.07472557,-0.902071176,0.946523258,0.145890842,0.347911797,0.143904803,0.428947926,0.676506072,0.316960451,-0.144007115,0.111071859,0.705117522,-0.185790021,-0.807796237,-0.922000729,0.023265286,0.103222382,0.092933785,0.001511328,-0.182393521,0.374120777,-0.109068968,-0.284052403,0.045919592,-0.000918293,0.276211249,-0.141790586,1.070793429,0.234346714,-0.593181237,0.046219166,-0.710499559,-0.214561429,0.145237422,0.550986841,-0.017236245,0.244711235,0.476932683,0.033777366,-0.920488749,0.119350239,-0.220753013,0.415805312,-0.145329631,0.831992964,0.523119785,0.230636262,0.077722377,0.441688873,0.160179621,0.256630783,-0.145917915,-0.21140617,-0.087944589,0.086155614,0.364963211,-0.25232511,0.54168391,0.121932996,0.393845609,0.134931067,0.146847869,0.060129321,0.182527154,0.380373092,-0.598341138,-0.303390225,0.289404927,-0.342857277,-0.489511118,-0.048340836,0.364081169,-0.358502637,0.092719795,-0.080915189,0.181430703,0.073989657,0.087484053,0.096817375,0.414944698,0.018059002,0.400896604,-0.299128562,0.088197283,-0.144922842,0.168792403,0.150388713,-0.307848517,0.368904357,0.338917669,0.478729729,0.021166564,0.186652586,-0.26311931,-0.047430008,0.175558908,-0.045632592,-0.002108855,-0.197102917,0.278737093,-0.253031668,-0.075130032,0.132819717,-0.305222773,-0.129682059,-0.050237083,-0.001943647,-0.14181127,0.001696432,0.104608026,0.067794583,-0.278656038
DB00398,0.767253582,-1.60363026,0.233332666,-0.611042452,1.195003484,-0.214023135,-0.342595806,0.450536129,-0.08366272,0.82692123,0.319455799,-0.129588217,1.007326505,-1.054287719,1.105719551,0.018061473,0.16567659,0.558646687,0.228345807,-0.154551644,-0.477830932,-0.174533416,0.264255081,0.260890822,0.051627553,-0.16904609,-0.619995812,-0.739486975,-0.639590923,0.144284587,0.037261073,-0.301827844,0.295007526,-0.471298037,0.487791684,0.816875693,1.023351741,0.228750906,0.440209525,0.038117709,-0.804844738,0.554735569,-1.940409381,0.194917757,-0.20597937,0.136435839,-0.453922912,-1.238948639,-0.901321779,0.789581103,-0.010610778,-0.373185213,0.07016844,-0.765222016,-0.439230117,-0.295279775,0.4627191,-0.562814607,-0.042779451,0.091105127,0.023247009,-0.321660377,0.227438368,-0.029656931,0.074742099,-0.543947213,0.570255047,0.26262862,-0.837319218,0.048500255,-0.153693382,-0.78805944,-0.33125032,0.500288011,-0.066456288,0.3862272,0.582090706,0.180786275,0.437440134,0.029043818,0.107214336,0.929882015,-0.404648199,-0.707283891,-0.172406962,0.203226693,-0.064481186,-0.194892355,-0.150827543,0.217938693,0.140519537,-0.119628166,0.038768915,-0.744047929,-0.02356569,-0.359820074,-0.078877301,-0.687094733,0.312447369,0.113411801,-0.129672272,-0.342144364,0.210189776,-0.012286788,-0.076946554,-0.225771128,-0.354455861,0.264082068,0.292618933,-0.434659864,-0.099520678,-0.052463958,-0.18752537,0.086865425,0.243441652,-0.019478646,-0.182033138,0.522846944,-0.366889429,-0.4238055,-0.044163239,-0.209386284,0.412469775,0.140855969,-0.092000184,-0.402015386,0.013703605,0.102210505,-0.37835145,-0.032635841,0.303950571,-0.061219227,-0.294229881,-0.212700707,-0.263397136,-0.241398699,-0.114315035,-0.713658216,-0.160267003,0.093018943,0.344930091,-0.168258258,0.091683266,0.026421153,0.274775043,0.045333417,0.031300913,-0.051916703,-0.381757016,0.122701926
