0,1,2,Deg,Enh
0.022923313,0.33431825,0.000578499,0,0
0.542959,0.085669495,0.004757008,0,0
0.10663058,0.52358216,0.001685732,0,0
0.006201851,0.11699741,2.21E-05,0,0
0.018552719,0.23787412,0.012697028,0,0
2.87E-05,0.000364265,0.059893705,0,0
0.002031888,0.76171595,0.0001998,0,0
0.005308873,0.001289296,0.016400333,0,0
0.012992657,6.46E-05,0.19304135,0,0
1.85E-05,2.17E-06,0.018663798,0,0
1.07E-08,0.002656155,0.04069718,0,0
0.002050044,0.014980746,0.021761293,0,0
0.06726189,0.00712576,0.035367627,0,0
8.38E-05,0.003428082,0.045686647,0,0
0.000549414,0.002551555,0.007856465,0,0
0.004037865,0.83253443,3.92E-07,0,0
0.000978516,0.005578219,0.031868402,0,0
0.3176872,0.0233771,0.040757846,0,0
0.000343408,0.87610066,0.000285874,0,0
4.87E-05,3.67E-07,0.2598001,0,0
0.002033836,8.71E-05,0.5975535,0,0
0.19227172,0.15196924,0.13176467,0,0
0.113912545,0.043304134,0.10208539,0,0
0.009666029,0.011990054,0.042326998,0,0
0.19243984,0.17703749,0.023659118,0,0
0.031999648,0.043519475,0.39885643,0,0
0.18952778,0.010715107,0.38388428,0,0
0.022253439,0.001822752,0.1706366,0,0
7.93E-07,0.30226883,0.000157177,0,0
1.79E-05,0.04419173,0.43580902,0,0
0.00033295,0.008556846,0.018119121,0,0
7.21E-06,0.000820643,0.094656006,0,0
0.000137841,0.000945228,0.7686763,0,0
1.21E-05,0.000234288,0.702648,0,0
5.67E-06,0.65805167,0.000744053,0,0
0.04672426,0.001216995,0.084949344,0,0
0.14808686,0.23794279,0.07862872,0,0
0.019827744,1.47E-05,0.16592808,0,0
0.048042018,0.000503731,0.016598072,0,0
0.4100703,0.000784069,0.538819,0,0
1.77E-08,0.006721725,0.5801889,0,0
0.000363014,6.29E-05,0.16994628,0,0
0.000119913,0.62810874,5.77E-05,0,0
0.00026055,0.013475468,0.083122276,0,0
0.32616425,0.001022683,0.3220826,0,0
1.26E-05,0.45755622,0.000165053,0,0
3.41E-06,0.000283245,0.8763228,0,0
0.9972218,0.00174614,0.002384345,1,0
0.065256275,0.062229984,0.22199656,0,0
0.8285293,0.019846685,0.40304855,0,0
0.004712533,0.17738107,0.06376322,0,0
1.31E-05,0.6978637,4.64E-06,0,0
2.14E-05,0.007290071,0.88740206,0,0
0.020538019,0.012202741,7.34E-06,0,0
0.000396099,0.24778107,0.18253435,0,0
0.000128653,0.037523374,0.18978643,0,0
0.7505041,0.000854465,0.08640613,0,0
0.23093623,0.04892666,0.001821983,0,0
3.08E-05,0.9252414,0.001199525,0,0
0.000133933,0.77878326,7.86E-07,0,0
0.09929421,0.005143904,2.13E-05,0,0
1.70E-05,0.003834889,0.012985608,0,0
0.000682909,0.7800622,0.000543855,0,0
0.035739534,0.12445341,0.4597965,0,0
0.130256,0.061219864,0.3085996,0,0
0.00082531,0.000160096,0.04608653,0,0
0.16593695,0.10876755,0.003971738,0,0
0.41650036,0.33752084,0.19955435,0,0
0.49167088,0.3406627,0.2009802,0,0
0.4316712,0.3407422,0.2048928,0,0
0.84478265,0.19530578,0.45914388,0,0
0.054043345,0.025056738,0.22403494,0,0
0.7136289,0.015730655,0.071135715,0,0
0.009721234,0.20943071,4.40E-06,0,0
6.27E-06,0.000351182,0.030253,0,0
0.000985015,0.000624285,0.8757342,0,0
8.78E-08,0.000164827,0.1119389,0,0
0.037407983,0.3646758,0.002460174,0,0
0.0001343,0.9008565,0.000276749,0,0
2.59E-05,0.000699781,0.06216172,0,0
0.001424668,0.000475312,0.003401511,0,0
0.000108882,0.38703838,0.000266483,0,0
1.57E-05,0.048261274,1.62E-05,0,0
0.054749615,0.000487607,0.008131532,0,0
0.0498463,0.000885356,0.48761645,0,0
0.006495876,0.029967275,3.40E-07,0,0
3.17E-08,0.000167228,0.07644661,0,0
0.04788472,0.40046632,7.53E-06,0,0
0.000442635,0.001351467,0.21571258,0,0
7.52E-08,0.7066078,2.60E-07,0,0
0.001970278,0.000164725,0.09965297,0,0
0.036681343,0.006346811,0.06027565,0,0
4.70E-07,0.003254389,0.12746523,0,0
0.2997165,0.006004945,2.25E-07,0,0
0.002412431,0.001023478,0.03498153,0,0
0.000245742,0.008617438,0.39895988,0,0
0.7908711,0.028299695,1.66E-05,0,0
9.61E-07,0.78433335,2.33E-08,0,0
3.16E-07,9.20E-05,0.30482745,0,0
7.26E-05,0.007845972,0.09651546,0,0
0.027294308,0.003030518,0.036569994,0,0
0.08383652,4.70E-05,0.6099976,0,0
2.96E-11,8.84E-07,0.010280012,0,0
0.013525855,0.002022197,0.04793153,0,0
0.22384103,0.05580966,0.46405926,0,0
3.97E-08,7.15E-07,0.013809774,0,0
5.35E-05,0.024378808,0.026615372,0,0
6.38E-08,0.010793434,0.100936934,0,0
1.24E-05,0.26372722,0.5833465,0,0
0.000105884,0.28498468,0.009013803,0,0
5.79E-08,4.82E-05,0.36248273,0,0
2.78E-11,2.72E-05,0.8812061,0,0
0.3775625,0.028559724,5.17E-05,0,0
0.012081289,0.06924533,0.000127871,0,0
0.000187803,0.033270795,0.39591023,0,0
0.7236523,0.0867679,0.039593548,0,0
8.70E-08,0.001662465,0.25581577,0,0
4.95E-05,1.93E-05,0.006512838,0,0
5.17E-05,0.0006357,0.7336854,0,0
3.08E-05,0.87653846,2.72E-06,0,0
4.64E-07,0.000272797,0.47902066,0,0
1.71E-05,0.000421994,0.6419907,0,0
0.001093964,0.002419052,0.37239102,0,0
2.40E-05,0.31980583,0.08895501,0,0
0.017453544,0.013103791,0.6014639,0,0
6.95E-05,0.003882669,0.70191956,0,0
5.11E-06,0.568276,6.97E-05,0,0
0.004708527,0.000236348,0.4127234,0,0
6.25E-09,0.001814087,0.025662597,0,0
0.004522213,0.3911566,8.61E-06,0,0
1.92E-08,2.65E-06,0.29150409,0,0
0.7602565,0.04576995,0.14185388,0,0
0.002237234,1.39E-05,0.08109373,0,0
0.001010109,0.049481466,0.04165707,0,0
8.87E-06,0.8574109,0.000248314,0,0
0.05976548,0.061056852,0.016145986,0,0
0.123348705,0.010786913,0.052476868,0,0
0.003056773,8.57E-05,0.38032442,0,0
0.13426046,0.08376026,0.004848045,0,0
0.07979857,0.09103533,0.4270137,0,0
0.5629586,0.22479938,0.13041037,0,0
0.002838732,0.5594143,0.0829753,0,0
0.161319,0.09208188,0.000115919,0,0
0.00521004,0.000111839,0.23191465,0,0
0.004371666,0.000215134,0.41473848,0,0
0.04902864,0.31085554,0.08657362,0,0
0.003632992,1.90E-05,0.2142315,0,0
3.96E-07,0.95044905,7.35E-07,0,0
0.006262904,5.31E-07,0.4876135,0,0
0.000540846,0.000123082,0.063489646,0,0
0.000901335,0.30923533,1.05E-06,0,0
2.83E-07,5.05E-05,0.31391954,0,0
5.05E-08,0.003899186,0.047716197,0,0
0.000120735,0.002500319,0.024989817,0,0
0.000112501,0.2904527,0.000430746,0,0
0.092024215,5.90E-07,0.69926405,0,0
0.009788584,0.005858833,0.06200987,0,0
0.04597263,0.000628898,0.2954937,0,0
0.07145428,0.000474685,0.4320491,0,0
0.000307393,0.10185388,0.037449755,0,0
5.27E-08,2.56E-05,0.817933,0,0
9.04E-07,6.56E-06,0.83757645,0,0
