0,1,2
0.3343582,0.4704012,0.3665573
0.43829602,0.58958185,0.11608445
0.49522528,0.27093303,0.001791709
0.051337715,0.13261512,0.000924062
0.04672258,0.65994,0.047747284
0.055968672,0.22859304,0.39141554
0.07811772,0.6717662,0.012275739
0.62070894,0.29442567,0.2991217
0.30158538,0.023076076,0.7369309
0.016888734,0.01144175,0.88123
0.0030922692,0.14006723,0.12369246
0.17337361,0.5796111,0.5991958
0.9757568,0.12168775,0.08213089
0.015725268,0.65900594,0.026261982
0.01396337,0.22013547,0.1521704
0.02201483,0.99379575,0.00027547445
0.18782614,0.62565714,0.5299428
0.68964046,0.5578584,0.31913573
0.006037779,0.47765675,0.0029106445
0.003486897,0.0014020682,0.8034025
0.113822475,0.01808355,0.6764516
0.12598135,0.18204859,0.42671928
0.012299042,0.14337127,0.08491419
0.39657488,0.22604099,0.5576772
0.375174,0.642147,0.1412129
0.12082598,0.03990744,0.86982095
0.12556924,0.039570328,0.67181027
0.093064666,0.022082372,0.8425097
0.0093490295,0.8948765,0.0010205961
0.010183617,0.07550056,0.7575355
0.06227268,0.5050475,0.12553518
0.06033187,0.19094798,0.3213287
0.0056518284,0.0056607244,0.58808637
0.0008390329,0.0062770136,0.65034366
0.0027377412,0.72518516,0.033221263
0.21848355,0.16514324,0.70396316
0.25040922,0.107748605,0.30749246
0.33452624,0.044401173,0.69241303
0.08178197,0.032293003,0.49474433
0.13892671,0.00494406,0.90177745
0.0416343,0.16705877,0.55159914
0.027072951,0.0385975,0.7798911
0.012339215,0.7068125,0.007463624
0.048079234,0.39216775,0.20732757
0.16808562,0.07392023,0.72826755
0.018994685,0.5965636,0.020882344
0.003382542,0.0014729986,0.91959035
0.999713,0.0015086217,0.10668401
0.09677928,0.30961224,0.44380042
0.955107,0.10805368,0.49243683
0.09976762,0.54521704,0.33432075
0.002987163,0.92745113,0.00010265203
0.004383406,0.09101237,0.5372225
0.20201348,0.27682993,0.00491452
0.009987733,0.15642884,0.24844263
0.09289635,0.32447034,0.36977646
0.9632834,0.09260919,0.5664961
0.24505772,0.6324608,0.14945875
0.018077452,0.9329794,0.019705113
0.027321674,0.93217415,0.001086543
0.22683711,0.31938404,0.0011156294
0.029721603,0.13737541,0.13961738
0.022362035,0.82290345,0.014450135
0.039989427,0.044942573,0.839796
0.4685434,0.4241688,0.44643465
0.32780012,0.28019503,0.5003183
0.30684608,0.6531511,0.16387627
0.3448761,0.26949635,0.57144386
0.3500167,0.47111374,0.32945088
0.35986108,0.46703166,0.37763688
0.5576454,0.3760009,0.49297357
0.35986108,0.46703166,0.37763688
0.94181204,0.17936532,0.1776679
0.006383413,0.7936196,0.00020755708
0.0006794232,0.033686444,0.2744734
0.14862768,0.0009221626,0.7479563
0.00013405726,0.002398462,0.79203266
0.08730007,0.68577975,0.012282128
0.00046942983,0.6472971,9.574913e-06
0.02540126,0.2141269,0.51507694
