pMines1,p0,p1,i,j,deg,inh,degTRUE,degFALSE,,inhTRUE,inhFALSE,,Not Given,sum
4.24E-08,8.95E-08,0.9999509,DB01182,DB00235,2.08E-12,0.999950858,0,0,,0,0,,0,0
4.97E-08,3.27E-07,0.9999503,DB01182,DB00806,2.47E-12,0.99995025,0,0,,0,0,,0,0
8.57E-07,4.26E-10,0.9999491,DB02703,DB00967,4.36E-11,0.999948243,0,0,,0,0,,0,0
9.00E-09,2.64E-11,0.99994767,DB02703,DB01195,4.71E-13,0.999947661,0,0,,0,0,,0,0
9.28E-08,1.05E-07,0.99994755,DB01182,DB00591,4.87E-12,0.999947457,0,0,,0,0,,0,0
3.39E-11,5.77E-09,0.99994624,DB02703,DB01362,1.82E-15,0.99994624,0,0,,0,0,,0,0
4.51E-06,1.65E-08,0.99994993,DB01182,DB00542,2.26E-10,0.99994542,0,0,,0,0,,0,0
3.17E-10,1.83E-08,0.9999448,DB01182,DB00408,1.75E-14,0.9999448,0,0,,0,0,,0,0
4.25E-07,9.33E-07,0.99994385,DB01182,DB00180,2.39E-11,0.999943425,0,0,,0,0,,0,0
2.33E-08,1.33E-08,0.99994004,DB01182,DB00366,1.40E-12,0.999940017,0,0,,0,0,,0,0
6.97E-10,7.46E-13,0.9999392,DB02703,DB00966,4.24E-14,0.999939199,0,0,,0,0,,0,0
5.97E-06,3.12E-08,0.99994457,DB01182,DB00434,3.31E-10,0.9999386,0,0,,0,0,,0,0
1.13E-07,7.31E-08,0.9999385,DB01182,DB00394,6.95E-12,0.999938387,0,0,,0,0,,0,0
2.89E-10,1.67E-10,0.999936,DB02703,DB00550,1.85E-14,0.999936,0,0,,0,0,,0,0
9.12E-07,3.05E-10,0.9999356,DB02703,DB01267,5.87E-11,0.999934688,0,0,,0,0,,0,0
1.52E-09,7.60E-10,0.99993336,DB00935,DB00389,1.01E-13,0.999933358,0,0,,0,0,,0,0
1.11E-08,7.48E-07,0.99993277,DB01273,DB01182,7.46E-13,0.999932759,0,0,,0,0,,0,0
1.56E-08,2.93E-10,0.99993217,DB02703,DB01106,1.06E-12,0.999932154,0,0,,0,0,,0,0
4.80E-09,1.86E-10,0.9999317,DB02703,DB00985,3.28E-13,0.999931695,0,0,,0,0,,0,0
