pMines1,p0,p1,i,j,deg,inh,degTRUE,degFALSE,,inhTRUE,inhFALSE,,Not Given,sum
5.92E-09,1.97E-09,0.9996846,DB02703,DB00181,1.87E-12,0.999684594,0,0,,0,0,,0,0
4.70E-05,3.84E-07,0.9997303,DB01182,DB01099,1.27E-08,0.999683313,0,0,,0,0,,0,0
6.85E-08,1.64E-06,0.9996804,DB01182,DB00455,2.19E-11,0.999680332,0,0,,0,0,,0,0
0.000243722,1.34E-07,0.99992394,DB01238,DB00915,1.85E-08,0.999680237,0,0,,0,0,,0,0
1.41E-06,2.18E-06,0.9996803,DB01182,DB00437,4.51E-10,0.99967889,0,0,,0,0,,0,0
0.000106823,4.24E-06,0.9997842,DB01267,DB00524,2.31E-08,0.9996774,0,0,,0,0,,0,0
2.34E-08,1.16E-09,0.9996743,DB00915,DB00621,7.62E-12,0.999674277,0,0,,0,0,,0,0
3.94E-07,4.56E-08,0.9996692,DB02703,DB00421,1.30E-10,0.999668806,0,0,,0,0,,0,0
1.43E-05,5.98E-07,0.99968255,DB01267,DB00381,4.54E-09,0.999668255,0,0,,0,0,,0,0
1.59E-07,1.97E-10,0.9996681,DB02703,DB00523,5.28E-11,0.999667941,0,0,,0,0,,0,0
2.82E-07,3.34E-07,0.99966764,DB01551,DB00889,9.37E-11,0.999667358,0,0,,0,0,,0,0
3.73E-08,3.28E-08,0.999665,DB01273,DB00802,1.25E-11,0.999664963,0,0,,0,0,,0,0
7.39E-07,2.32E-09,0.99966514,DB02703,DB01021,2.47E-10,0.999664401,0,0,,0,0,,0,0
6.30E-07,9.42E-09,0.9996625,DB00524,DB00389,2.13E-10,0.99966187,0,0,,0,0,,0,0
7.32E-05,1.20E-06,0.9997342,DB01273,DB00391,1.95E-08,0.999661019,0,0,,0,0,,0,0
4.95E-08,3.08E-10,0.99966085,DB02703,DB00806,1.68E-11,0.999660801,0,0,,0,0,,0,0
0.000142464,4.03E-07,0.99980253,DB01239,DB00968,2.81E-08,0.999660094,0,0,,0,0,,0,0
1.53E-09,1.22E-08,0.9996551,DB00470,DB00389,5.28E-13,0.999655098,0,0,,0,0,,0,0
1.19E-06,1.96E-07,0.9996557,DB06288,DB00889,4.10E-10,0.99965451,0,0,,0,0,,0,0
2.01E-06,5.34E-10,0.9996562,DB06288,DB02703,6.91E-10,0.999654191,0,0,,0,0,,0,0
1.16E-07,7.75E-10,0.9996519,DB02703,DB00742,4.04E-11,0.999651784,0,0,,0,0,,0,0
2.16E-07,2.50E-07,0.9996507,DB00921,DB00889,7.54E-11,0.999650484,0,0,,0,0,,0,0
1.69E-05,1.33E-05,0.9996662,DB01182,DB00315,5.64E-09,0.999649306,0,0,,0,0,,0,0
6.55E-07,8.07E-10,0.9996493,DB01032,DB00389,2.30E-10,0.999648645,0,0,,0,0,,0,0
2.70E-05,1.66E-05,0.99967444,DB01182,DB00844,8.79E-09,0.999647449,0,0,,0,0,,0,0
5.28E-08,1.07E-08,0.999647,DB01239,DB00687,1.86E-11,0.999646947,0,0,,0,0,,0,0
1.23E-05,8.11E-09,0.999655,DB00623,DB00524,4.24E-09,0.999642704,0,0,,0,0,,0,0
5.64E-08,2.15E-10,0.9996407,DB02703,DB00235,2.03E-11,0.999640644,0,0,,0,0,,0,0
3.29E-09,1.86E-06,0.9996406,DB01019,DB00708,1.18E-12,0.999640597,0,0,,0,0,,0,0
6.34E-07,2.75E-08,0.99964035,DB01069,DB00687,2.28E-10,0.999639716,0,0,,0,0,,0,0
2.79E-07,7.52E-09,0.9996395,DB02703,DB00435,1.01E-10,0.999639221,0,0,,0,0,,0,0
2.42E-06,3.33E-07,0.9996383,DB06288,DB00862,8.75E-10,0.999635881,0,0,,0,0,,0,0
8.78E-09,7.68E-08,0.9996339,DB01236,DB00529,3.21E-12,0.999633891,0,0,,0,0,,0,0
2.74E-08,7.97E-11,0.99963,DB02703,DB00709,1.01E-11,0.999629973,0,0,,0,0,,0,0
0.000125795,8.58E-08,0.99975556,DB00524,DB00413,3.07E-08,0.999629796,0,0,,0,0,,0,0
6.11E-08,1.33E-06,0.999627,DB00909,DB00889,2.28E-11,0.999626939,0,0,,0,0,,0,0
1.89E-10,1.11E-09,0.9996264,DB02703,DB00513,7.06E-14,0.9996264,0,0,,0,0,,0,0
2.61E-05,8.12E-08,0.99964845,DB01100,DB01032,9.18E-09,0.999622359,0,0,,0,0,,0,0
3.88E-08,3.95E-08,0.9996213,DB01364,DB00968,1.47E-11,0.999621261,0,0,,0,0,,0,0
4.09E-08,5.06E-10,0.9996183,DB02703,DB01047,1.56E-11,0.999618259,0,0,,0,0,,0,0
2.02E-06,2.86E-08,0.99961805,DB00961,DB00542,7.72E-10,0.999616031,0,0,,0,0,,0,0
4.82E-07,5.12E-06,0.9996141,DB01182,DB01062,1.86E-10,0.999613618,0,0,,0,0,,0,0
4.19E-08,1.29E-06,0.9996131,DB01623,DB00915,1.62E-11,0.999613058,0,0,,0,0,,0,0
4.77E-07,1.78E-07,0.99961346,DB00935,DB00862,1.84E-10,0.999612983,0,0,,0,0,,0,0
1.10E-06,5.93E-07,0.99961334,DB01452,DB00862,4.25E-10,0.99961224,0,0,,0,0,,0,0
1.06E-09,3.10E-08,0.99961096,DB04844,DB00973,4.12E-13,0.999610959,0,0,,0,0,,0,0
6.12E-07,2.95E-07,0.9996069,DB01184,DB00633,2.41E-10,0.999606288,0,0,,0,0,,0,0
9.83E-05,7.27E-06,0.9997044,DB01267,DB00492,2.91E-08,0.999606129,0,0,,0,0,,0,0
1.18E-07,7.94E-07,0.9996051,DB01608,DB01100,4.66E-11,0.999604982,0,0,,0,0,,0,0
5.35E-13,4.41E-10,0.99960333,DB01273,DB00389,2.12E-16,0.99960333,0,0,,0,0,,0,0
0.000183933,8.35E-06,0.99978465,DB01184,DB00968,3.96E-08,0.999600757,0,0,,0,0,,0,0
2.22E-09,1.72E-08,0.99960023,DB01273,DB00623,8.87E-13,0.999600228,0,0,,0,0,,0,0
1.59E-05,3.95E-09,0.99961346,DB02703,DB00809,6.15E-09,0.999597566,0,0,,0,0,,0,0
7.94E-10,1.44E-09,0.99959356,DB01239,DB00915,3.23E-13,0.999593559,0,0,,0,0,,0,0
1.19E-08,4.70E-09,0.9995919,DB00697,DB00389,4.86E-12,0.999591888,0,0,,0,0,,0,0
9.61E-11,4.57E-09,0.99958926,DB00973,DB00389,3.95E-14,0.99958926,0,0,,0,0,,0,0
3.29E-07,6.59E-09,0.99958533,DB02703,DB01274,1.36E-10,0.999585001,0,0,,0,0,,0,0
1.24E-05,3.37E-08,0.99959475,DB01069,DB00819,5.03E-09,0.999582355,0,0,,0,0,,0,0
4.49E-08,2.45E-10,0.9995808,DB02703,DB00547,1.88E-11,0.999580755,0,0,,0,0,,0,0
4.14E-07,6.85E-06,0.999577,DB01182,DB00231,1.75E-10,0.999576586,0,0,,0,0,,0,0
9.50E-06,1.00E-11,0.9995857,DB02703,DB01032,3.94E-09,0.999576204,0,0,,0,0,,0,0
2.20E-06,1.45E-07,0.99957794,DB01100,DB00819,9.29E-10,0.999575741,0,0,,0,0,,0,0
1.62E-05,8.16E-08,0.9995919,DB01037,DB00915,6.61E-09,0.999575707,0,0,,0,0,,0,0
4.00E-05,2.15E-07,0.99961436,DB01367,DB00973,1.54E-08,0.999574375,0,0,,0,0,,0,0
4.54E-06,7.23E-08,0.9995747,DB01394,DB00450,1.93E-09,0.999570162,0,0,,0,0,,0,0
6.76E-07,4.83E-09,0.99957055,DB01184,DB00935,2.90E-10,0.999569874,0,0,,0,0,,0,0
2.53E-07,2.50E-06,0.99956447,DB01184,DB00909,1.10E-10,0.999564217,0,0,,0,0,,0,0
1.12E-05,6.95E-07,0.9995727,DB00862,DB00434,4.79E-09,0.999561505,0,0,,0,0,,0,0
6.32E-06,3.93E-09,0.99956745,DB01069,DB00381,2.73E-09,0.999561133,0,0,,0,0,,0,0
7.42E-08,1.21E-08,0.99955946,DB01013,DB00687,3.27E-11,0.999559386,0,0,,0,0,,0,0
2.73E-06,3.66E-06,0.99955827,DB01267,DB00401,1.21E-09,0.999555541,0,0,,0,0,,0,0
4.43E-13,8.22E-10,0.9995555,DB01019,DB00389,1.97E-16,0.9995555,0,0,,0,0,,0,0
2.77E-10,3.25E-10,0.99955446,DB00623,DB00389,1.23E-13,0.99955446,0,0,,0,0,,0,0
1.46E-06,7.02E-06,0.9995542,DB01182,DB00820,6.51E-10,0.999552741,0,0,,0,0,,0,0
2.09E-07,1.36E-05,0.9995528,DB01182,DB00996,9.35E-11,0.999552591,0,0,,0,0,,0,0
1.56E-07,2.26E-09,0.9995485,DB02703,DB00714,7.04E-11,0.999548344,0,0,,0,0,,0,0
6.51E-06,8.31E-07,0.99955124,DB01236,DB00819,2.92E-09,0.999544733,0,0,,0,0,,0,0
0.000118718,4.14E-08,0.9996604,DB00656,DB00389,4.03E-08,0.999541722,0,0,,0,0,,0,0
3.23E-06,4.56E-07,0.99954283,DB01244,DB01182,1.48E-09,0.999539601,0,0,,0,0,,0,0
3.47E-09,3.35E-07,0.9995388,DB01273,DB00708,1.60E-12,0.999538797,0,0,,0,0,,0,0
3.22E-08,3.33E-07,0.9995388,DB01273,DB01184,1.49E-11,0.999538768,0,0,,0,0,,0,0
1.08E-08,1.81E-08,0.9995352,DB01236,DB00966,5.02E-12,0.999535189,0,0,,0,0,,0,0
6.24E-06,7.63E-07,0.9995284,DB00889,DB00819,2.94E-09,0.999522163,0,0,,0,0,,0,0
1.49E-05,4.76E-08,0.99953663,DB00492,DB00413,6.90E-09,0.999521737,0,0,,0,0,,0,0
6.27E-06,5.37E-07,0.9995277,DB01224,DB00935,2.96E-09,0.999521433,0,0,,0,0,,0,0
4.70E-08,4.06E-11,0.9995179,DB02703,DB00882,2.27E-11,0.999517853,0,0,,0,0,,0,0
2.19E-07,5.79E-10,0.9995165,DB02703,DB00669,1.06E-10,0.999516281,0,0,,0,0,,0,0
2.72E-06,1.77E-06,0.99951446,DB00909,DB00819,1.32E-09,0.999511741,0,0,,0,0,,0,0
1.91E-07,3.45E-08,0.9995079,DB00413,DB00381,9.40E-11,0.999507709,0,0,,0,0,,0,0
8.74E-06,3.16E-07,0.9995154,DB01184,DB00819,4.24E-09,0.999506664,0,0,,0,0,,0,0
3.06E-08,3.11E-09,0.99949837,DB02703,DB00710,1.53E-11,0.999498339,0,0,,0,0,,0,0
1.65E-07,2.65E-08,0.9994956,DB00889,DB00623,8.32E-11,0.999495435,0,0,,0,0,,0,0
2.64E-07,1.14E-08,0.9994941,DB01069,DB00529,1.34E-10,0.999493836,0,0,,0,0,,0,0
2.38E-08,2.12E-08,0.999491,DB00819,DB00389,1.21E-11,0.999490976,0,0,,0,0,,0,0
1.96E-06,2.16E-07,0.9994898,DB01267,DB00528,1.00E-09,0.999487841,0,0,,0,0,,0,0
3.11E-06,7.81E-07,0.9994899,DB00934,DB00819,1.59E-09,0.999486792,0,0,,0,0,,0,0
4.00E-05,8.86E-07,0.9995247,DB01182,DB00388,1.90E-08,0.999484719,0,0,,0,0,,0,0
1.12E-05,1.33E-06,0.99949396,DB01267,DB00621,5.67E-09,0.999482766,0,0,,0,0,,0,0
1.41E-06,2.11E-09,0.99948335,DB02703,DB01005,7.28E-10,0.999481941,0,0,,0,0,,0,0
1.87E-07,1.88E-08,0.99948186,DB01236,DB00528,9.69E-11,0.999481673,0,0,,0,0,,0,0
2.05E-08,7.42E-11,0.99947983,DB02703,DB00591,1.07E-11,0.99947981,0,0,,0,0,,0,0
1.43E-06,2.90E-08,0.9994809,DB00889,DB00802,7.42E-10,0.999479471,0,0,,0,0,,0,0
1.14E-06,4.45E-07,0.9994791,DB01380,DB00687,5.94E-10,0.999477961,0,0,,0,0,,0,0
1.69E-07,3.03E-07,0.99947506,DB00889,DB00633,8.87E-11,0.999474891,0,0,,0,0,,0,0
3.82E-05,2.12E-07,0.9995111,DB01367,DB00742,1.87E-08,0.999472919,0,0,,0,0,,0,0
4.67E-08,5.05E-08,0.99946636,DB00889,DB00427,2.49E-11,0.999466313,0,0,,0,0,,0,0
4.48E-06,2.69E-06,0.9994704,DB00862,DB00819,2.37E-09,0.999465922,0,0,,0,0,,0,0
2.96E-05,2.41E-08,0.99949336,DB01069,DB00492,1.50E-08,0.999463775,0,0,,0,0,,0,0
9.27E-10,7.74E-10,0.99946135,DB01364,DB00542,4.99E-13,0.999461349,0,0,,0,0,,0,0
4.29E-09,1.04E-09,0.99946076,DB01081,DB00389,2.31E-12,0.999460756,0,0,,0,0,,0,0
6.07E-06,3.34E-07,0.9994661,DB00934,DB00524,3.24E-09,0.999460033,0,0,,0,0,,0,0
6.38E-08,2.69E-07,0.9994562,DB01054,DB00450,3.47E-11,0.999456136,0,0,,0,0,,0,0
8.52E-06,6.43E-08,0.9994603,DB00542,DB00512,4.60E-09,0.999451785,0,0,,0,0,,0,0
5.98E-08,4.15E-10,0.9994517,DB02703,DB00880,3.28E-11,0.99945164,0,0,,0,0,,0,0
3.36E-05,2.55E-06,0.9994849,DB00820,DB00434,1.73E-08,0.999451317,0,0,,0,0,,0,0
1.53E-05,5.09E-08,0.99946636,DB00961,DB00524,8.16E-09,0.999451068,0,0,,0,0,,0,0
5.61E-06,2.30E-08,0.9994543,DB01239,DB00492,3.06E-09,0.999448693,0,0,,0,0,,0,0
6.46E-09,4.05E-08,0.9994473,DB00889,DB00241,3.57E-12,0.999447294,0,0,,0,0,,0,0
2.10E-06,5.02E-07,0.9994493,DB01184,DB00708,1.16E-09,0.999447201,0,0,,0,0,,0,0
2.57E-05,2.80E-07,0.99947184,DB06288,DB00819,1.36E-08,0.999446154,0,0,,0,0,,0,0
8.08E-07,2.69E-11,0.9994449,DB02703,DB00519,4.49E-10,0.999444092,0,0,,0,0,,0,0
6.31E-06,5.99E-08,0.9994492,DB06288,DB00381,3.48E-09,0.999442893,0,0,,0,0,,0,0
1.26E-05,1.57E-07,0.9994492,DB06288,DB01184,6.94E-09,0.999436607,0,0,,0,0,,0,0
1.01E-06,2.87E-08,0.9994357,DB00915,DB00492,5.70E-10,0.999434691,0,0,,0,0,,0,0
8.41E-05,7.66E-05,0.9995166,DB01182,DB00813,4.07E-08,0.999432541,0,0,,0,0,,0,0
1.18E-10,2.63E-08,0.99943215,DB01273,DB00433,6.70E-14,0.99943215,0,0,,0,0,,0,0
3.92E-05,5.13E-06,0.9994667,DB01267,DB00819,2.09E-08,0.999427521,0,0,,0,0,,0,0
4.01E-10,6.42E-10,0.99942124,DB00394,DB00389,2.32E-13,0.99942124,0,0,,0,0,,0,0
1.83E-06,3.21E-09,0.9994223,DB02703,DB01235,1.06E-09,0.999420471,0,0,,0,0,,0,0
3.01E-06,2.68E-07,0.99941134,DB00889,DB00497,1.77E-09,0.999408332,0,0,,0,0,,0,0
1.30E-07,1.58E-08,0.9994079,DB02703,DB00186,7.70E-11,0.99940777,0,0,,0,0,,0,0
2.74E-06,2.25E-07,0.9994055,DB00862,DB00802,1.63E-09,0.999402762,0,0,,0,0,,0,0
2.75E-07,4.49E-08,0.9994006,DB00808,DB00389,1.65E-10,0.999400325,0,0,,0,0,,0,0
1.53E-07,2.20E-09,0.9993943,DB01069,DB00966,9.27E-11,0.999394147,0,0,,0,0,,0,0
1.40E-07,4.75E-08,0.9993925,DB01100,DB00512,8.50E-11,0.99939236,0,0,,0,0,,0,0
4.06E-09,2.15E-09,0.99939144,DB00492,DB00389,2.47E-12,0.999391436,0,0,,0,0,,0,0
5.36E-08,6.91E-08,0.9993901,DB01100,DB00621,3.27E-11,0.999390046,0,0,,0,0,,0,0
0.000197636,1.75E-07,0.9995838,DB01013,DB00844,8.23E-08,0.999386246,0,0,,0,0,,0,0
6.68E-06,5.78E-06,0.9993926,DB01100,DB01085,4.06E-09,0.999385924,0,0,,0,0,,0,0
3.59E-06,2.90E-06,0.99938655,DB00862,DB00497,2.20E-09,0.999382962,0,0,,0,0,,0,0
4.35E-05,6.00E-07,0.9994235,DB00679,DB00389,2.51E-08,0.999380025,0,0,,0,0,,0,0
1.46E-06,1.93E-06,0.9993806,DB01184,DB00433,9.04E-10,0.999379141,0,0,,0,0,,0,0
1.50E-07,1.26E-07,0.9993782,DB02703,DB00986,9.33E-11,0.99937805,0,0,,0,0,,0,0
1.04E-09,1.21E-09,0.99937695,DB02703,DB00884,6.48E-13,0.999376949,0,0,,0,0,,0,0
6.22E-07,4.45E-11,0.9993767,DB02703,DB01081,3.88E-10,0.999376078,0,0,,0,0,,0,0
2.29E-05,0.000114987,0.999398,DB01182,DB00654,1.38E-08,0.999375114,0,0,,0,0,,0,0
1.32E-07,2.17E-08,0.99936956,DB01155,DB00389,8.32E-11,0.999369428,0,0,,0,0,,0,0
1.22E-06,2.86E-09,0.99936885,DB02703,DB02546,7.70E-10,0.999367631,0,0,,0,0,,0,0
1.88E-09,2.29E-08,0.9993586,DB00921,DB00389,1.21E-12,0.999358598,0,0,,0,0,,0,0
6.77E-07,2.63E-07,0.99935716,DB01100,DB00235,4.35E-10,0.999356483,0,0,,0,0,,0,0
3.66E-06,1.58E-08,0.99936,DB00915,DB00542,2.34E-09,0.999356342,0,0,,0,0,,0,0
2.14E-12,1.65E-08,0.999355,DB01221,DB00389,1.38E-15,0.999355,0,0,,0,0,,0,0
8.12E-09,1.12E-09,0.999355,DB02703,DB00360,5.24E-12,0.999354992,0,0,,0,0,,0,0
2.00E-07,1.36E-07,0.9993517,DB00961,DB00261,1.30E-10,0.9993515,0,0,,0,0,,0,0
8.88E-07,2.34E-06,0.9993507,DB01551,DB00862,5.77E-10,0.999349813,0,0,,0,0,,0,0
5.03E-05,3.19E-08,0.9994,DB01069,DB00542,3.02E-08,0.99934973,0,0,,0,0,,0,0
6.23E-07,7.49E-10,0.9993487,DB02703,DB00218,4.06E-10,0.999348077,0,0,,0,0,,0,0
1.64E-06,2.47E-09,0.99934727,DB02703,DB00698,1.07E-09,0.999345631,0,0,,0,0,,0,0
3.26E-05,6.53E-05,0.999376,DB01224,DB00709,2.03E-08,0.99934342,0,0,,0,0,,0,0
7.51E-09,4.39E-11,0.9993426,DB02703,DB01013,4.94E-12,0.999342592,0,0,,0,0,,0,0
1.52E-09,6.50E-09,0.99934226,DB01184,DB00601,1.00E-12,0.999342258,0,0,,0,0,,0,0
2.92E-06,1.34E-07,0.99934393,DB01364,DB01238,1.92E-09,0.999341012,0,0,,0,0,,0,0
4.90E-09,9.37E-09,0.9993399,DB01239,DB00889,3.23E-12,0.999339895,0,0,,0,0,,0,0
1.77E-06,4.16E-05,0.9993412,DB01267,DB01019,1.17E-09,0.999339431,0,0,,0,0,,0,0
1.24E-05,8.48E-07,0.9993487,DB00470,DB00413,8.08E-09,0.999336308,0,0,,0,0,,0,0
6.56E-10,1.23E-08,0.9993339,DB01551,DB00389,4.37E-13,0.999333899,0,0,,0,0,,0,0
6.95E-08,4.42E-11,0.99933076,DB02703,DB01030,4.65E-11,0.999330691,0,0,,0,0,,0,0
0.000234686,1.40E-06,0.9995591,DB00844,DB00687,1.03E-07,0.999324517,0,0,,0,0,,0,0
1.22E-09,1.69E-10,0.9993223,DB04540,DB02703,8.27E-13,0.999322299,0,0,,0,0,,0,0
7.24E-08,9.35E-10,0.99932146,DB02703,DB00952,4.91E-11,0.999321388,0,0,,0,0,,0,0
2.80E-08,3.35E-08,0.99931586,DB00529,DB00413,1.92E-11,0.999315832,0,0,,0,0,,0,0
1.63E-11,7.95E-10,0.9993057,DB01273,DB00915,1.13E-14,0.9993057,0,0,,0,0,,0,0
9.49E-06,3.51E-06,0.99931514,DB00433,DB00261,6.50E-09,0.999305656,0,0,,0,0,,0,0
2.37E-05,6.00E-08,0.9993285,DB00524,DB00450,1.59E-08,0.999304816,0,0,,0,0,,0,0
1.06E-08,2.20E-08,0.99930286,DB01273,DB00697,7.39E-12,0.999302849,0,0,,0,0,,0,0
4.85E-06,1.63E-07,0.99930155,DB00687,DB00413,3.39E-09,0.999296703,0,0,,0,0,,0,0
3.80E-06,2.22E-07,0.9992999,DB00831,DB00261,2.66E-09,0.999296103,0,0,,0,0,,0,0
9.10E-07,1.36E-07,0.9992943,DB06712,DB01182,6.42E-10,0.999293391,0,0,,0,0,,0,0
6.40E-07,1.18E-07,0.9992939,DB01273,DB00524,4.52E-10,0.99929326,0,0,,0,0,,0,0
3.36E-05,5.59E-05,0.99932647,DB01182,DB01162,2.26E-08,0.999292893,0,0,,0,0,,0,0
1.28E-10,3.65E-09,0.9992893,DB01364,DB01184,9.10E-14,0.9992893,0,0,,0,0,,0,0
3.60E-08,2.89E-08,0.9992812,DB04844,DB00687,2.59E-11,0.999281164,0,0,,0,0,,0,0
3.89E-06,1.98E-07,0.99928445,DB01244,DB01100,2.78E-09,0.999280563,0,0,,0,0,,0,0
1.80E-07,4.25E-08,0.9992736,DB00889,DB00413,1.31E-10,0.99927342,0,0,,0,0,,0,0
3.18E-05,4.58E-06,0.9993042,DB01267,DB00305,2.21E-08,0.999272422,0,0,,0,0,,0,0
6.43E-06,6.30E-07,0.999278,DB00820,DB00802,4.64E-09,0.999271575,0,0,,0,0,,0,0
2.91E-12,4.00E-12,0.99927145,DB02703,DB00775,2.12E-15,0.99927145,0,0,,0,0,,0,0
1.19E-06,2.59E-08,0.9992705,DB01273,DB01032,8.68E-10,0.999269311,0,0,,0,0,,0,0
9.08E-05,0.000238098,0.9993593,DB06262,DB01182,5.82E-08,0.999268558,0,0,,0,0,,0,0
1.42E-05,2.08E-06,0.99928194,DB06288,DB00820,1.02E-08,0.99926775,0,0,,0,0,,0,0
1.69E-06,2.43E-08,0.9992668,DB06288,DB00966,1.24E-09,0.999265111,0,0,,0,0,,0,0
6.90E-07,1.70E-09,0.99926394,DB02703,DB00310,5.08E-10,0.999263251,0,0,,0,0,,0,0
3.68E-06,2.49E-06,0.999265,DB01182,DB01013,2.70E-09,0.999261323,0,0,,0,0,,0,0
2.12E-07,2.12E-06,0.99926096,DB00909,DB00862,1.57E-10,0.999260748,0,0,,0,0,,0,0
1.08E-05,2.76E-07,0.9992704,DB00413,DB00368,7.88E-09,0.999259608,0,0,,0,0,,0,0
4.50E-06,1.56E-07,0.9992636,DB01244,DB00802,3.31E-09,0.999259103,0,0,,0,0,,0,0
9.47E-07,5.37E-06,0.9992582,DB01184,DB00742,7.02E-10,0.999257254,0,0,,0,0,,0,0
5.33E-07,6.25E-07,0.9992505,DB06288,DB01019,3.99E-10,0.999249967,0,0,,0,0,,0,0
4.53E-07,7.05E-10,0.99924964,DB02703,DB00526,3.40E-10,0.999249187,0,0,,0,0,,0,0
8.41E-07,7.46E-07,0.9992494,DB02703,DB01065,6.31E-10,0.99924856,0,0,,0,0,,0,0
3.16E-05,7.25E-07,0.9992799,DB01182,DB00497,2.28E-08,0.999248323,0,0,,0,0,,0,0
1.86E-05,2.76E-09,0.99926573,DB02703,DB00679,1.37E-08,0.999247144,0,0,,0,0,,0,0
2.35E-07,7.61E-06,0.9992461,DB01595,DB00889,1.77E-10,0.999245865,0,0,,0,0,,0,0
4.69E-07,5.76E-06,0.9992435,DB01236,DB00820,3.55E-10,0.999243031,0,0,,0,0,,0,0
1.30E-07,3.08E-07,0.9992404,DB05266,DB01184,9.87E-11,0.99924027,0,0,,0,0,,0,0
7.17E-07,2.06E-07,0.9992404,DB05266,DB01100,5.45E-10,0.999239684,0,0,,0,0,,0,0
3.13E-06,5.03E-10,0.9992409,DB02703,DB00935,2.38E-09,0.999237772,0,0,,0,0,,0,0
1.07E-06,8.14E-07,0.99923384,DB01019,DB00967,8.20E-10,0.999232771,0,0,,0,0,,0,0
2.04E-06,6.69E-06,0.99922514,DB01273,DB01267,1.58E-09,0.999223102,0,0,,0,0,,0,0
6.68E-07,7.49E-07,0.99922323,DB01184,DB00820,5.19E-10,0.999222563,0,0,,0,0,,0,0
7.43E-06,1.64E-07,0.9992293,DB01240,DB00915,5.73E-09,0.999221876,0,0,,0,0,,0,0
1.79E-05,5.51E-07,0.9992378,DB01236,DB00524,1.36E-08,0.999219914,0,0,,0,0,,0,0
9.96E-06,3.06E-08,0.9992274,DB01239,DB00542,7.70E-09,0.999217448,0,0,,0,0,,0,0
1.38E-06,3.70E-07,0.9992169,DB01195,DB00687,1.08E-09,0.999215521,0,0,,0,0,,0,0
1.90E-05,7.93E-06,0.9992343,DB00820,DB00497,1.45E-08,0.999215315,0,0,,0,0,,0,0
1.18E-07,2.22E-07,0.9992137,DB02703,DB01337,9.28E-11,0.999213582,0,0,,0,0,,0,0
1.34E-07,4.80E-07,0.9992119,DB01054,DB00915,1.06E-10,0.999211766,0,0,,0,0,,0,0
5.65E-05,3.76E-07,0.99926585,DB00889,DB00434,4.15E-08,0.999209391,0,0,,0,0,,0,0
1.12E-05,3.37E-09,0.9992157,DB02703,DB01155,8.78E-09,0.999204509,0,0,,0,0,,0,0
2.37E-07,1.79E-08,0.9991992,DB00450,DB00381,1.90E-10,0.999198963,0,0,,0,0,,0,0
5.20E-09,3.91E-08,0.9991966,DB00647,DB00389,4.18E-12,0.999196595,0,0,,0,0,,0,0
5.43E-08,2.01E-08,0.9991948,DB01021,DB00389,4.37E-11,0.999194746,0,0,,0,0,,0,0
4.98E-06,5.21E-07,0.99919623,DB01182,DB00490,4.00E-09,0.999191254,0,0,,0,0,,0,0
6.11E-06,5.97E-05,0.9991972,DB06701,DB01182,4.91E-09,0.999191095,0,0,,0,0,,0,0
9.44E-10,6.23E-08,0.99918956,DB01236,DB00389,7.65E-13,0.999189559,0,0,,0,0,,0,0
1.27E-05,2.62E-07,0.99919647,DB00819,DB00413,1.02E-08,0.99918378,0,0,,0,0,,0,0
3.92E-07,1.07E-06,0.99918026,DB00889,DB00708,3.21E-10,0.999179868,0,0,,0,0,,0,0
1.05E-06,1.29E-06,0.99917954,DB00909,DB00381,8.61E-10,0.999178491,0,0,,0,0,,0,0
3.88E-07,3.60E-08,0.9991756,DB00967,DB00389,3.20E-10,0.999175212,0,0,,0,0,,0,0
4.40E-08,1.31E-05,0.999172,DB01019,DB00202,3.64E-11,0.999171956,0,0,,0,0,,0,0
6.44E-07,7.64E-08,0.99916637,DB00862,DB00413,5.37E-10,0.999165727,0,0,,0,0,,0,0
6.45E-08,3.52E-09,0.9991646,DB02703,DB02701,5.39E-11,0.999164536,0,0,,0,0,,0,0
5.79E-06,2.62E-07,0.9991673,DB00819,DB00623,4.82E-09,0.999161515,0,0,,0,0,,0,0
5.97E-06,6.31E-05,0.9991642,DB01590,DB01019,4.99E-09,0.999158235,0,0,,0,0,,0,0
2.95E-07,3.75E-08,0.99915504,DB00921,DB00915,2.49E-10,0.999154745,0,0,,0,0,,0,0
4.12E-06,8.75E-09,0.99915075,DB00492,DB00450,3.50E-09,0.999146633,0,0,,0,0,,0,0
3.01E-07,3.53E-05,0.9991462,DB01221,DB01182,2.57E-10,0.999145899,0,0,,0,0,,0,0
2.19E-06,2.12E-06,0.999148,DB00820,DB00697,1.87E-09,0.999145812,0,0,,0,0,,0,0
2.77E-08,2.59E-08,0.9991435,DB01273,DB01069,2.37E-11,0.999143472,0,0,,0,0,,0,0
2.87E-07,9.07E-08,0.9991437,DB04844,DB00819,2.46E-10,0.999143413,0,0,,0,0,,0,0
0.000120662,2.11E-05,0.9992625,DB01267,DB00234,8.90E-08,0.999141927,0,0,,0,0,,0,0
2.90E-05,6.03E-06,0.9991683,DB01452,DB00820,2.41E-08,0.999139324,0,0,,0,0,,0,0
1.09E-06,1.25E-07,0.9991374,DB01239,DB00808,9.40E-10,0.999136311,0,0,,0,0,,0,0
9.29E-05,2.48E-07,0.9992256,DB01452,DB01184,7.19E-08,0.999132772,0,0,,0,0,,0,0
2.58E-07,8.48E-06,0.9991264,DB01018,DB00889,2.25E-10,0.999126142,0,0,,0,0,,0,0
