pMines1,p0,p1,i,j,deg,enh
0.0020208657,0.00012481213,0.9978286,DB04339,DB00180,4.388107780980092e-06,0.9958121224077809
0.001957953,2.9802322e-07,0.99972814,DB04844,DB00180,5.322891025800248e-07,0.9977707192891025
3.5971403e-05,9.030104e-06,0.99972016,DB05266,DB00180,1.0066237415521121e-08,0.9996841986632373
0.0009061396,2.3841858e-07,0.9996414,DB06288,DB00180,3.2494166055998797e-07,0.9987355853416606
6.920099e-05,9.536743e-07,0.9959787,DB06694,DB00180,2.7827794108700037e-07,0.9959097772879412
0.0021947622,4.2021275e-06,0.9992278,DB06701,DB00180,1.6947953708400013e-06,0.9970347325953708
0.00017979741,1.2516975e-06,0.9955237,DB06712,DB00180,8.048271463829979e-07,0.9953447074171464
0.00038665533,0.00094240904,0.9994533,DB00350,DB00181,2.1138446891100428e-07,0.9990668560544689
0.0005720556,0.00020051003,0.99911946,DB00399,DB00181,5.037178380240233e-07,0.998547908117838
0.00017407537,1.8805265e-05,0.9965705,DB00401,DB00181,5.969914814149955e-07,0.9963970216214814
0.0011927187,0.0011438429,0.99651325,DB00421,DB00181,4.15871192722498e-06,0.9953246900119272
0.00077056885,0.008014858,0.9989234,DB00437,DB00181,8.295944239099869e-07,0.9981536607444239
0.0012790859,0.002051264,0.99927783,DB00512,DB00181,9.23717464402957e-07,0.9979996678174644
0.005344838,0.000101685524,0.999858,DB00523,DB00181,7.58966995999869e-07,0.9945139209669961
0.00011318922,0.00010755658,0.99878794,DB00528,DB00181,1.371921259931954e-07,0.998674887972126
0.0017374158,6.0021877e-05,0.9980466,DB00539,DB00181,3.39386802371999e-06,0.9963125780680238
2.208352e-05,2.3752451e-05,0.99986553,DB00556,DB00181,2.969570934399948e-09,0.9998434494495709
0.0014256239,0.00024160743,0.992072,DB00591,DB00181,1.1302346279200067e-05,0.9906576784462792
0.004628569,9.5665455e-06,0.99922526,DB00601,DB00181,3.5859375470599816e-06,0.994600276937547
0.0009859204,0.00012075901,0.9951136,DB00630,DB00181,4.8176014425599584e-06,0.9941324972014426
0.001440376,0.005212456,0.9935416,DB00631,DB00181,9.302524358399964e-06,0.9921105265243584
0.00026211143,7.408857e-05,0.9994493,DB00654,DB00181,1.4434476450100395e-07,0.9991873329147645
0.0018143952,8.3982944e-05,0.9995136,DB00709,DB00181,8.825218252799963e-07,0.9977000873218252
0.00030344725,3.8266182e-05,0.99985754,DB00710,DB00181,4.322909523498647e-08,0.9995541359790953
0.00017416477,0.00010582805,0.9996182,DB00727,DB00181,6.649610918599786e-08,0.9994441017261092
0.002059549,6.2584877e-07,0.9995944,DB00742,DB00181,8.353530744000123e-07,0.9975356863530743
0.004724115,0.0012354553,0.9996425,DB00820,DB00181,1.68887111250005e-06,0.9949200738711125
0.00016358495,0.0007429123,0.9987465,DB00862,DB00181,2.0505373482500304e-07,0.9985831201037347
0.00020974874,0.00020244718,0.9922962,DB00869,DB00181,1.615862343212008e-06,0.9920880671223432
0.0009139776,1.3500452e-05,0.9992308,DB00882,DB00181,7.030315699200233e-07,0.9983175254315699
5.5283308e-05,0.0001399219,0.9987092,DB00966,DB00181,7.135969396640201e-08,0.9986539880516939
0.002799064,5.2571297e-05,0.9997294,DB01013,DB00181,7.574267184000272e-07,0.9969310934267184
0.0009958148,0.0011620522,0.9986647,DB01020,DB00181,1.3297115024400393e-06,0.9976702149115024
0.0008098781,5.8084726e-05,0.9994048,DB01054,DB00181,4.820394451200146e-07,0.9985954039394451
0.00023576617,0.0003607273,0.99760956,DB01071,DB00181,5.635848834147985e-07,0.9973743574148835
0.0004082322,2.7030706e-05,0.99943733,DB01244,DB00181,2.2970001197399483e-07,0.999029327500012
0.0043839216,2.0116568e-05,0.99791527,DB01590,DB00181,9.139292877167908e-06,0.9935404876928772
0.004713416,7.9244375e-05,0.99867463,DB01708,DB00181,6.247020163919964e-06,0.993967461020164
8.404255e-06,0.00036475062,0.999257,DB04540,DB00181,6.244361465000414e-09,0.9992486019893614
0.000119537115,0.00018262863,0.9994856,DB05266,DB00181,6.14898919560031e-08,0.9993661243748919
0.0014006495,0.0007032156,0.99832535,DB00261,DB00186,2.345597685175e-06,0.9969270460976852
0.00034746528,0.00017172098,0.99800366,DB00275,DB00186,6.936588370752142e-07,0.997656888378837
0.0013266206,0.00028002262,0.9994209,DB00346,DB00186,7.682459894600724e-07,0.9980950476459894
0.00031283498,0.00060492754,0.9998771,DB00350,DB00186,3.8447419042011535e-08,0.999564303467419
0.0011078119,0.0029279888,0.99691117,DB00377,DB00186,3.421842631077047e-06,0.995806779942631
0.0010247827,0.00019824505,0.9996455,DB00399,DB00186,3.632854671500362e-07,0.9986210805854672
0.00030237436,4.5597553e-06,0.99949825,DB00401,DB00186,1.5171633512999015e-07,0.9991960273563352
0.0021773875,0.0004568994,0.99894047,DB00421,DB00186,2.307007377875067e-06,0.9967653895073779
0.0024525821,0.003317386,0.9993239,DB00437,DB00186,1.6581907578098953e-06,0.9968729760907579
0.0016267896,0.0010979474,0.9998561,DB00512,DB00186,2.340950234399587e-07,0.9982295444950235
0.00034457445,0.0001282394,0.9993911,DB00528,DB00186,2.0981138260500803e-07,0.9990467353613826
0.0012538135,3.543496e-05,0.9994768,DB00539,DB00186,6.559952231999323e-07,0.9982236424952233
0.0018154383,3.6746264e-05,0.9982701,DB00547,DB00186,3.140526715169911e-06,0.9964578022267152
5.4001808e-05,1.4573336e-05,0.99994195,DB00556,DB00186,3.134804954401711e-09,0.999887951326805
0.0016239882,6.839633e-05,0.9989701,DB00591,DB00186,1.6725454471800456e-06,0.9973477843454471
