,AUC,AUPR
0,0.5114794264438141,0.7946791504154203
1,0.9600549633753918,0.9883566404115682
2,0.9569194673375339,0.9857774414450133
3,0.980969890549581,0.9940175526195074
4,0.9824028039057602,0.9943937943401921
5,0.9112062215261959,0.9752743341197494
6,0.9851844779037722,0.996141011698499
7,0.9797154318768588,0.9935144552305265
8,0.9864896685504485,0.9963056821219868
9,0.9435707507447917,0.9855034400634995
10,0.5,0.889695550351288
11,0.9845235236859182,0.9952819882554073
12,0.9893738001971569,0.9967076756876544
