pMines1,p0,p1,i,j,deg,inh,degTRUE,degFALSE,degNot Given,inhTRUE,inhFALSE,inhNot Given
0.999926,0.012277814,0.001050494,DB01083,DB01156,0.998875584,7.77E-08,0,0,0,0,0,0
0.9996978,0.001027349,0.000850665,DB00745,DB01454,0.998847392,2.57E-07,0,0,0,0,0,0
0.99876523,0.017275484,4.78E-06,DB00153,DB00379,0.998760456,5.90E-09,0,0,0,0,0,0
0.9999902,0.000242961,0.001232686,DB00736,DB01083,0.998757526,1.21E-08,0,0,0,0,0,0
0.998762,0.056083042,1.98E-05,DB01048,DB01083,0.998742225,2.45E-08,0,0,0,0,0,0
0.9987243,6.28E-05,1.59E-05,DB00375,DB00736,0.99870842,2.03E-08,0,0,0,0,0,0
0.9987023,0.001410575,7.45E-06,DB00301,DB00745,0.99869486,9.67E-09,0,0,0,0,0,0
0.9992053,0.001394313,0.00053048,DB00736,DB01590,0.998675242,4.22E-07,0,0,0,0,0,0
0.9999887,8.28E-05,0.001383401,DB00379,DB01095,0.998605315,1.56E-08,0,0,0,0,0,0
0.99863964,0.00210862,0.000116136,DB00549,DB01048,0.998523662,1.58E-07,0,0,0,0,0,0
0.9985415,0.000270222,2.64E-05,DB00687,DB00745,0.998515139,3.85E-08,0,0,0,0,0,0
0.9989748,0.021354463,0.000555226,DB00607,DB01021,0.998420143,5.69E-07,0,0,0,0,0,0
0.9998963,0.002510051,0.001497057,DB00279,DB00745,0.998399398,1.55E-07,0,0,0,0,0,0
0.99847597,0.002638415,8.61E-05,DB00277,DB00755,0.998390001,1.31E-07,0,0,0,0,0,0
0.998747,0.05586099,0.000364581,DB00451,DB04574,0.998382876,4.57E-07,0,0,0,0,0,0
0.998451,0.04892969,8.06E-05,DB00379,DB00471,0.998370525,1.25E-07,0,0,0,0,0,0
0.99975413,0.034987606,0.001391853,DB01083,DB01171,0.998362619,3.42E-07,0,0,0,0,0,0
0.99835855,0.000930976,4.75E-06,DB00603,DB00736,0.998353808,7.80E-09,0,0,0,0,0,0
0.99918836,0.07327735,0.000845454,DB00479,DB01083,0.998343592,6.86E-07,0,0,0,0,0,0
0.9986363,0.032592904,0.000320399,DB00304,DB00451,0.998316338,4.37E-07,0,0,0,0,0,0
0.9983188,0.001234971,2.75E-05,DB00277,DB03783,0.998291346,4.62E-08,0,0,0,0,0,0
0.99846375,0.012145786,0.000212705,DB00277,DB01060,0.998251372,3.27E-07,0,0,0,0,0,0
0.99845684,0.002313148,0.00023429,DB00279,DB06698,0.998222912,3.62E-07,0,0,0,0,0,0
0.99809664,0.000937007,1.86E-06,DB00745,DB01252,0.998094784,3.54E-09,0,0,0,0,0,0
0.99967825,0.000828136,0.001586615,DB00547,DB00745,0.998092145,5.10E-07,0,0,0,0,0,0
0.9986488,0.000800618,0.000576122,DB00524,DB00736,0.998073456,7.78E-07,0,0,0,0,0,0
0.99810684,9.33E-05,5.52E-05,DB00294,DB00736,0.998051745,1.05E-07,0,0,0,0,0,0
0.9999423,0.000439824,0.001899001,DB01129,DB05109,0.998043409,1.10E-07,0,0,0,0,0,0
0.9985085,0.000253289,0.000539118,DB00277,DB00402,0.997970186,8.04E-07,0,0,0,0,0,0
0.99814487,0.07671556,0.00018646,DB00471,DB01083,0.997958756,3.46E-07,0,0,0,0,0,0
0.998949,0.042936992,0.001001093,DB00607,DB01259,0.997948959,1.05E-06,0,0,0,0,0,0
0.9979506,0.036053546,1.29E-05,DB00338,DB00717,0.997937726,2.64E-08,0,0,0,0,0,0
0.9993754,0.001700774,0.001479913,DB00191,DB00745,0.997896411,9.24E-07,0,0,0,0,0,0
0.9978714,0.002047879,5.98E-07,DB00304,DB00745,0.997870803,1.27E-09,0,0,0,0,0,0
0.9978186,0.009339936,7.47E-06,DB00717,DB00822,0.997811146,1.63E-08,0,0,0,0,0,0
0.9983631,0.000384569,0.000663938,DB00736,DB01183,0.997700249,1.09E-06,0,0,0,0,0,0
0.99983954,0.002017845,0.002182318,DB00277,DB00446,0.997657572,3.50E-07,0,0,0,0,0,0
0.9999976,2.83E-05,0.00242178,DB00300,DB00745,0.997575826,5.81E-09,0,0,0,0,0,0
0.9976538,0.05536498,0.000148173,DB00213,DB01083,0.997505975,3.48E-07,0,0,0,0,0,0
0.99795973,0.000633851,0.000517777,DB00419,DB00736,0.997443009,1.06E-06,0,0,0,0,0,0
0.9987337,0.007635309,0.001296398,DB00446,DB00549,0.997438944,1.64E-06,0,0,0,0,0,0
0.9973725,0.008042015,7.53E-06,DB00277,DB00713,0.99736499,1.98E-08,0,0,0,0,0,0
0.9973706,0.004407719,2.51E-05,DB00524,DB00745,0.997345566,6.60E-08,0,0,0,0,0,0
0.9998367,0.004784493,0.002499714,DB00451,DB06698,0.997337394,4.08E-07,0,0,0,0,0,0
0.9973073,0.000221237,5.86E-06,DB00745,DB00973,0.997301456,1.58E-08,0,0,0,0,0,0
0.99755484,0.000426574,0.000320392,DB00736,DB01021,0.997235231,7.83E-07,0,0,0,0,0,0
0.99995387,0.000407174,0.002736527,DB00182,DB00745,0.997217469,1.26E-07,0,0,0,0,0,0
0.9987212,0.01198335,0.001547485,DB00648,DB01048,0.997175694,1.98E-06,0,0,0,0,0,0
0.9977187,0.001104109,0.00054654,DB00745,DB01141,0.997173407,1.25E-06,0,0,0,0,0,0
0.997147,0.016826596,2.12E-07,DB00446,DB00717,0.997146789,6.05E-10,0,0,0,0,0,0
